time,cwnd,rtt,rto,ssthresh
22.625184262,9,23.042,224,2
22.754586560,3,22.49,223,3
22.883522824,2,24.886,225,2
23.010617483,3,23.331,224,2
23.141538709,4,30.118,231,2
23.271060540,8,24.784,225,2
23.400020553,7,21.916,222,6
23.528960737,3,21.556,222,3
23.656526277,5,23.994,224,4
23.785578005,4,24.15,225,3
23.914888729,6,22.951,223,3
24.043316920,5,20.973,221,4
24.172713557,4,21.923,222,3
24.301573348,4,21.343,222,4
24.442835629,4,21.149,222,4
24.573734909,6,21.508,222,3
24.701913466,4,20.661,221,4
24.831463595,7,20.943,221,4
24.962300106,7,22.194,223,6
25.091842081,5,20.627,221,3
25.221722134,3,23.624,224,2
25.352671404,4,30.384,231,2
25.479985393,8,24.285,225,5
25.609501397,7,21.115,222,5
25.741315898,10,20.441,221,5
25.871208125,6,20.82,221,5
26.001965691,5,21.462,222,4
26.134737341,7,22.328,223,4
26.262495665,9,21.213,222,4
26.392421360,4,20.737,221,4
26.521736154,7,22.625,223,4
26.650559956,3,23.439,224,2
26.782375687,4,30.139,231,2
26.915056476,5,22.506,223,4
27.044370229,7,20.686,221,4
27.174040262,4,20.823,221,4
27.302798601,3,26.754,227,2
27.431393681,2,26.675,227,3
27.560399891,7,24.029,225,3
27.689581253,9,21.774,222,3
27.821547605,9,22.237,223,6
27.951514193,12,21.126,222,6
28.082186430,10,20.561,221,9
28.212263787,8,20.417,221,8
28.342570752,9,22.459,223,6
28.473042986,7,21.015,222,7
28.603415154,5,20.819,221,5
28.732440035,3,21.71,222,2
28.861890019,6,28.362,229,2
28.992199187,5,22.738,223,4
29.124594727,9,21.274,222,4
29.254424764,9,20.549,221,8
29.384159910,8,20.313,221,7
29.512877969,5,22.409,223,4
29.645648351,4,22.236,223,3
29.772911795,6,20.967,221,5
29.899879583,2,21.897,222,2
30.031573730,4,30.653,231,2
30.160437260,8,25.536,226,2
30.287982241,4,21.593,222,4
30.415841989,7,21.842,222,4
30.544605975,9,21.02,222,4
30.672526192,9,20.564,221,9
30.802414565,8,20.502,221,7
30.933199439,11,20.387,221,7
31.062503639,9,20.48,221,9
31.194208468,8,22.037,223,7
31.324433341,6,21.344,222,5
31.455065670,5,21.496,222,4
31.584350035,5,24.281,225,4
31.714562201,4,23.178,224,3
31.845313365,7,21.628,222,3
31.975534956,5,21.875,222,4
32.105784271,6,21.04,222,3
32.235551270,2,20.545,221,2
32.367889973,3,23.493,224,2
32.497084779,3,28.599,229,2
32.624139772,4,23.723,224,4
32.755321484,4,24.04,225,3
32.885117225,5,21.761,222,4
33.014701493,4,22.69,223,3
33.147348138,3,21.833,222,2
33.276076932,4,29.485,230,2
33.406749930,8,23.934,224,2
33.536604954,12,21.962,222,2
33.667460897,12,20.51,221,8
33.796810421,3,21.714,222,4
33.926268375,7,20.803,221,4
34.054954005,11,20.519,221,4
34.184644400,6,21.078,222,5
34.315568148,4,20.324,221,4
34.446789606,7,20.405,221,4
34.574990735,7,21.521,222,4
34.706867302,6,22.572,223,5
