time_total,speed_download,time_starttransfer,time_appconnect,time_connect
4.619253,454002,1.253891,0.661570,0.013495
4.634097,452548,1.283213,0.610581,0.008144
4.657762,450248,1.268401,0.654984,0.009787
4.681022,448011,1.244522,0.633709,0.003963
4.707694,445473,1.216904,0.590036,0.000609
4.729447,443424,1.211371,0.608503,0.003099
4.979460,421160,1.175967,0.594601,0.010560
5.072576,413429,1.223124,0.643729,0.005578
5.092090,411845,1.224873,0.586946,0.011570
5.123202,409344,1.225771,0.611443,0.018968
5.297951,395842,1.232537,0.647903,0.011106
5.370117,390522,1.261688,0.649270,0.014152
5.549901,377871,1.368372,0.662442,0.013032
5.672152,369727,1.340274,0.639660,0.007210
6.525450,321380,1.300737,0.644256,0.002610
6.618047,316883,1.180593,0.582623,0.006026
7.008388,299234,1.486766,0.640893,0.001536
7.074926,296420,1.244517,0.600255,0.003539
7.200291,291259,1.340349,0.705884,0.014623
7.301824,287209,1.256487,0.667051,0.001105
7.362990,284823,1.245847,0.655023,0.002113
7.410392,283001,1.324994,0.605073,0.009246
7.827946,267905,1.501217,0.687860,0.016595
10.466481,200368,1.221247,0.612527,0.012543
10.505531,199623,1.222803,0.609017,0.005010
10.761044,194883,1.207261,0.568713,0.006581
10.772175,194682,1.142078,0.586980,0.015294
10.771300,194698,1.169267,0.595453,0.004489
10.980056,190996,1.213814,0.577094,0.015781
16.282825,128795,1.224991,0.580083,0.012055
