time_total,speed_download,time_starttransfer,time_appconnect,time_connect
0.694418,3020013,0.065816,0.025549,0.024708
0.725280,2891506,0.074336,0.031635,0.030804
0.735025,2853170,0.086466,0.036444,0.035758
0.750254,2795256,0.066441,0.026139,0.024410
0.758457,2765024,0.062406,0.026580,0.025309
0.755031,2777570,0.064146,0.026397,0.025522
0.750436,2794578,0.069677,0.029439,0.028590
0.745902,2811565,0.089433,0.036505,0.035931
0.771811,2717183,0.070818,0.030113,0.029075
0.770302,2722506,0.090540,0.036521,0.036013
0.793462,2643040,0.061443,0.026071,0.025108
0.787330,2663625,0.078136,0.033321,0.032397
0.799870,2621866,0.063048,0.026224,0.025537
0.792965,2644696,0.072718,0.031276,0.030040
0.801003,2618157,0.065325,0.026031,0.025425
0.797893,2628362,0.076936,0.032902,0.031889
0.790704,2652259,0.097494,0.036814,0.036411
0.800163,2620905,0.079999,0.034722,0.033346
0.796877,2631713,0.093141,0.036604,0.036029
0.804011,2608362,0.081551,0.035143,0.034416
0.807640,2596642,0.075540,0.032328,0.031475
0.804160,2607879,0.084756,0.036245,0.035567
0.813657,2577439,0.068244,0.028810,0.027249
0.799294,2623755,0.099250,0.037208,0.036690
0.798477,2626440,0.101701,0.037583,0.036957
0.802873,2612059,0.094813,0.036897,0.036258
0.808544,2593738,0.083320,0.035687,0.034824
0.801725,2615799,0.099927,0.037250,0.036528
0.808863,2592715,0.087770,0.036275,0.035821
0.805393,2603886,0.097462,0.037063,0.036389
