time_total,speed_download,time_starttransfer,time_appconnect,time_connect
0.243856,8599960,0.081119,0.048314,0.023088
0.246996,8490631,0.080885,0.046027,0.020358
0.247981,8456905,0.081309,0.053180,0.024385
0.250467,8372967,0.085822,0.060768,0.027721
0.252048,8320446,0.086408,0.062192,0.028588
0.252977,8289891,0.081199,0.049773,0.023476
0.253618,8268939,0.100553,0.079076,0.033446
0.256949,8161744,0.100609,0.051394,0.023880
0.256916,8162792,0.081435,0.055073,0.024835
0.256809,8166193,0.081856,0.058618,0.026514
0.256741,8168356,0.086195,0.061466,0.028076
0.264078,7941411,0.086963,0.063636,0.029461
0.265404,7901734,0.096281,0.074318,0.032554
0.265947,7885601,0.097516,0.067599,0.030641
0.268515,7810185,0.098020,0.076679,0.033162
0.272463,7697015,0.081556,0.056112,0.025206
0.281683,7445078,0.116148,0.095345,0.031877
0.282934,7412159,0.097894,0.070348,0.031460
0.284320,7376027,0.096612,0.075410,0.032862
0.287463,7295380,0.086719,0.062794,0.029039
0.292113,7179249,0.081717,0.057889,0.026090
0.324045,6471792,0.106896,0.057120,0.025745
0.339909,6169745,0.107728,0.059381,0.026952
0.347191,6040340,0.097727,0.069023,0.031079
0.351426,5967549,0.087667,0.065974,0.030289
0.451411,4645770,0.080988,0.047044,0.022507
0.499831,4195722,0.087370,0.064526,0.029912
0.516131,4063216,0.081945,0.060020,0.027351
0.694810,3018310,0.121156,0.072511,0.032205
1.457010,1439353,1.312328,1.291776,1.026222
